N,Time (ms),Type
100000,1.477885,HashSet
100000,2.69775,BloomFilter
200000,3.250882,HashSet
200000,5.658672,BloomFilter
300000,4.664127,HashSet
300000,8.411435,BloomFilter
400000,6.340312,HashSet
400000,11.43415,BloomFilter
500000,7.259226,HashSet
500000,14.498515,BloomFilter
600000,9.478444,HashSet
600000,17.993411,BloomFilter
700000,9.954702,HashSet
700000,21.951602,BloomFilter
800000,11.816123,HashSet
800000,25.155737,BloomFilter
900000,13.616871,HashSet
900000,29.881149,BloomFilter
1000000,16.847575,HashSet
1000000,33.611174,BloomFilter
1100000,16.302078,HashSet
1100000,38.00125,BloomFilter
1200000,18.394469,HashSet
1200000,41.69668,BloomFilter
1300000,20.183034,HashSet
1300000,46.174479,BloomFilter
1400000,22.345406,HashSet
1400000,49.592313,BloomFilter
1500000,22.98028,HashSet
1500000,54.103905,BloomFilter
1600000,25.014794,HashSet
1600000,57.793264,BloomFilter
1700000,26.930105,HashSet
1700000,61.329018,BloomFilter
1800000,28.991219,HashSet
1800000,65.134614,BloomFilter
1900000,29.510557,HashSet
1900000,69.274503,BloomFilter
2000000,31.844388,HashSet
2000000,72.759772,BloomFilter
2100000,33.230052,HashSet
2100000,77.158383,BloomFilter
2200000,33.34677,HashSet
2200000,81.365578,BloomFilter
2300000,36.444867,HashSet
2300000,84.271146,BloomFilter
2400000,36.924752,HashSet
2400000,90.009006,BloomFilter
2500000,39.375852,HashSet
2500000,88.612021,BloomFilter
2600000,39.812206,HashSet
2600000,93.293509,BloomFilter
2700000,41.103504,HashSet
2700000,99.297926,BloomFilter
2800000,45.982802,HashSet
2800000,104.50245,BloomFilter
2900000,47.285641,HashSet
2900000,105.171298,BloomFilter
3000000,46.370945,HashSet
3000000,107.490883,BloomFilter
3100000,48.680462,HashSet
3100000,115.610222,BloomFilter
3200000,51.021317,HashSet
3200000,116.65489,BloomFilter
3300000,52.041529,HashSet
3300000,120.077061,BloomFilter
3400000,54.307835,HashSet
3400000,123.585874,BloomFilter
3500000,55.351481,HashSet
3500000,123.326771,BloomFilter
3600000,59.15867,HashSet
3600000,137.954907,BloomFilter
3700000,61.792691,HashSet
3700000,130.450954,BloomFilter
3800000,64.692028,HashSet
3800000,134.237475,BloomFilter
3900000,65.107993,HashSet
3900000,146.738494,BloomFilter
4000000,64.322078,HashSet
4000000,147.178766,BloomFilter
4100000,66.81729,HashSet
4100000,151.373808,BloomFilter
4200000,66.472878,HashSet
4200000,156.923766,BloomFilter
4300000,69.767101,HashSet
4300000,160.506747,BloomFilter
4400000,69.961773,HashSet
4400000,163.92982,BloomFilter
4500000,72.351018,HashSet
4500000,164.172652,BloomFilter
4600000,74.642932,HashSet
4600000,164.601331,BloomFilter
4700000,76.961024,HashSet
4700000,168.312912,BloomFilter
4800000,79.163832,HashSet
4800000,178.306857,BloomFilter
4900000,81.275178,HashSet
4900000,177.328713,BloomFilter
5000000,81.105532,HashSet
5000000,182.174559,BloomFilter
